Attendance,Internal_Marks,Assignment_Score,Study_Hours,Sleep_Hours,risk
46,76,89,7,6,1
63,80,71,5,5,0
79,42,94,1,4,1
46,51,92,5,5,1
90,20,95,3,4,1
89,68,20,8,6,0
31,71,61,8,8,1
87,36,58,1,7,1
40,69,23,5,9,1
93,94,41,6,9,0
41,78,44,8,6,1
91,55,97,1,6,1
31,68,32,9,6,1
30,54,61,1,9,1
41,77,75,8,6,1
62,86,33,5,4,0
74,93,55,3,6,0
36,82,83,1,9,1
71,77,92,4,4,0
69,59,25,6,8,0
44,88,88,9,4,1
80,86,31,6,5,0
61,69,81,2,7,1
56,80,40,4,4,1
